Sides,a,a_error,b,b_error,c,c_error,R2
3,34.65165175599801,0.004646435398594409,-172.03932061209863,5.828669259236246,-0.9556618941185135,0.007352955295755024,0.9999895637510492
4,28.466705758965094,0.004135727848901679,-146.73294259448954,4.707074987592463,-0.9413074010462077,0.006975665847809949,0.9999904671360073
5,26.773177003736777,0.0013649072847179819,-113.01895648531415,1.8182075715103139,-0.9645588813283733,0.003487464567256604,0.9999976738901817
6,26.078750106148917,0.0006216499238281381,-114.86508256979513,0.8647908523440272,-0.9709939725044751,0.00163074728817413,0.9999994947892403
7,25.736386951037638,0.0021622680573861897,-98.00872177581445,2.6858447076180547,-0.9542051810608002,0.005948664992867318,0.9999931589962797
8,25.540028955787708,0.0004538082191239533,-115.20319865764286,0.6038461938188161,-0.9643929161181389,0.0011362887400352287,0.9999997530174121
9,25.4236200615584,0.0011182458016820859,-98.10306564712127,1.4575454339465157,-0.961331753307975,0.003222089406711487,0.9999980077397481
10,25.351067866579108,0.0028652297577437614,-91.41459716758862,3.3683319052984464,-0.9460754590883707,0.008007129528644763,0.9999875010447689
11,25.30092365306556,0.0028950385572505395,-85.64064692009302,3.233414902202359,-0.9385315087207361,0.008213175241612499,0.999986747201354
12,25.268274704713598,0.0049830585080923515,-83.3196887171371,5.0675714931163,-0.9247782891572047,0.013256672670604583,0.9999649860535174
13,25.23937539151403,0.0035983784669949125,-84.39209451527898,3.9972385796448324,-0.9377345395361963,0.010304719459987541,0.9999791210370654
14,25.220310024849674,0.002406544078309167,-84.01517680839854,2.637925134690652,-0.9357765491847445,0.0068328475275899175,0.999990801421206
15,25.202660713641965,0.00228360218311966,-94.22962292209581,2.922386098176782,-0.9586145832248059,0.00672824201570708,0.9999912884658341
16,25.19515370507246,0.003898374052548188,-89.38330340709416,4.3800801979667945,-0.9394093900266431,0.010658638467090708,0.9999777003763731
17,25.181608151663454,0.0011551250005396433,-96.31428837305899,1.5278228559359706,-0.9635018238026859,0.003439211416559453,0.9999977353181845
18,25.177315965575154,0.0028770872400265732,-90.6333578844381,3.4973832407050964,-0.9510136226434077,0.008379980314190356,0.9999863793975238
19,25.166524704650318,9.638512907759318e-05,-102.77587452491878,0.13971810466222795,-0.9771166427243608,0.00029423542335783973,0.9999999836581406
20,25.165608393536424,0.0018216786449012472,-94.97671434848192,2.323205875759281,-0.9581029060887122,0.005307023061916778,0.9999945771602856
21,25.163286520918255,0.0014568126654355541,-87.17372159257592,1.7165550725017027,-0.9464148139940125,0.004278876875815164,0.9999964319128432
22,25.158099353476253,0.0026071024350633625,-95.56966996789323,3.4326726731921378,-0.9628292238302062,0.007788007091164391,0.9999883791095951
23,25.15532604271067,0.0007074976935456163,-93.74578673632101,0.9153591326304024,-0.9602337099449375,0.002117870741280463,0.9999991382788099
24,25.157589714178588,0.0033885801890677684,-88.6766488962446,3.8978474249397,-0.9428692915622058,0.009556161200970428,0.9999821384535487
25,25.152337647169198,0.0015287123136700721,-91.43423121317001,1.9163121417167406,-0.9555564814325794,0.004548657900815254,0.9999960057139728
26,25.15290853935019,0.003153263286462853,-86.59066650385886,3.666873342134102,-0.9444736552183602,0.009204452928517973,0.9999834563393137
27,25.14640721197022,0.0005169309582145142,-100.81913508157191,0.7325269055249926,-0.9737412116624621,0.0015732410436828115,0.9999995311445324
28,25.147068877676293,0.0012743124035094525,-92.71981186245999,1.6216515138906962,-0.9577848732279655,0.0037947541757018337,0.9999972264232292
